setting,workflow,quality_level,method,method_key,expected_cost,violation_rate,status
W1-Q1,workflow1,Q1,SkyFlow,decomposition,1.3533252358907288,0.00052,OPTIMAL
W1-Q1,workflow1,Q1,Greedy,greedy,1.3533252358907288,0.00052,optimal
W1-Q1,workflow1,Q1,MLS,murakkab_profile,8.466859558628508,0.00158,optimal
W1-Q1,workflow1,Q1,SC,single_cloud,1.9857320086525618,0.1169,optimal
W1-Q2,workflow1,Q2,SkyFlow,decomposition,5.112573390036964,0.05944,INFEASIBLE
W1-Q2,workflow1,Q2,Greedy,greedy,5.11255024976364,0.09316,optimal
W1-Q2,workflow1,Q2,MLS,murakkab_profile,12.248030860633715,0.11642,optimal
W1-Q2,workflow1,Q2,SC,single_cloud,5.736386209151652,0.10058,optimal
W1-Q3,workflow1,Q3,SkyFlow,decomposition,21.432898046551294,0.09838,INFEASIBLE
W1-Q3,workflow1,Q3,Greedy,greedy,21.43285272080655,0.11278,optimal
W1-Q3,workflow1,Q3,MLS,murakkab_profile,28.2825337518341,0.10502,optimal
W1-Q3,workflow1,Q3,SC,single_cloud,22.015414210070045,0.1051,optimal
W2-Q1,workflow2,Q1,SkyFlow,decomposition,4.043589056235686,0.01524,OPTIMAL
W2-Q1,workflow2,Q1,Greedy,greedy,4.043587932180217,0.03074,optimal
W2-Q1,workflow2,Q1,MLS,murakkab_profile,11.197944401081465,0.04686,optimal
W2-Q1,workflow2,Q1,SC,single_cloud,9.663613177588699,0.11558,optimal
W2-Q2,workflow2,Q2,SkyFlow,decomposition,10.5630670578975,0.0744,INFEASIBLE
W2-Q2,workflow2,Q2,Greedy,greedy,10.5630652388889,0.0989,optimal
W2-Q2,workflow2,Q2,MLS,murakkab_profile,17.54182753539089,0.1147,optimal
W2-Q2,workflow2,Q2,SC,single_cloud,16.57848054826474,0.0828,optimal
W2-Q3,workflow2,Q3,SkyFlow,decomposition,30.1917566512566,0.10722,INFEASIBLE
W2-Q3,workflow2,Q3,Greedy,greedy,30.191753346449946,0.11416,optimal
W2-Q3,workflow2,Q3,MLS,murakkab_profile,37.25441206582926,0.10438,optimal
W2-Q3,workflow2,Q3,SC,single_cloud,36.54697227835332,0.10268,optimal
