workflow_quality,method,expected_cost,avg_latency,p95_latency,p99_latency,violation_rate,cvar_value,solver_runtime_sec,status
workflow1_Q1,decomposition,1.8014457212491957,4623.320734651276,9024.669359632491,11508.600873272258,0.03196,741.0418368505581,48.81025845899421,INFEASIBLE
workflow1_Q1,greedy,1.8014148806196806,4897.577195567062,9801.735255076623,12972.440037043556,0.06354,1648.2311730280887,29.230512291993364,optimal
workflow1_Q1,murakkab_profile,2.05755096977605,4913.595059285024,9538.441942857082,11993.478235275888,0.04422,959.2816000101607,59.39401683300093,optimal
workflow1_Q1,single_cloud,2.391486378414006,4893.405769887624,9508.600839352901,11981.426288456218,0.04262,942.9985190835964,9.384881332996883,optimal
workflow1_Q2,decomposition,6.97984589383861,9469.155613166135,23434.71783546181,36218.24297205128,0.0408,4763.328268075537,60.45052529098757,INFEASIBLE
workflow1_Q2,greedy,6.979769689929581,10599.24323736614,26848.9724950125,42094.69367490282,0.06614,8591.948252714245,29.120266415993683,optimal
workflow1_Q2,murakkab_profile,7.223843921448322,9659.776646018314,23723.34250563945,36570.228278476294,0.04244,4924.109205953585,58.14292850000493,optimal
workflow1_Q2,single_cloud,7.5279973349566385,9632.67156400811,23639.77305458716,36468.90739356157,0.04198,4897.633180949254,9.345527875004336,optimal
workflow1_Q3,decomposition,20.295869122608355,14777.583273867096,39294.57128313082,63884.35528774093,0.0544,11701.933574460696,116.20690012599516,INFEASIBLE
workflow1_Q3,greedy,20.295721633246075,15643.207090277812,41877.34559390107,68361.64367103131,0.0669,14764.604790372336,32.829763667003135,optimal
workflow1_Q3,murakkab_profile,20.517360902742244,14880.648056012431,39475.511862366664,64095.89133990939,0.05504,11809.192557030137,59.28097720800724,optimal
workflow1_Q3,single_cloud,20.770050700476464,14848.008926145709,39394.318624675776,64018.88347481812,0.05472,11775.356166448815,9.531042250004248,optimal
workflow2_Q1,decomposition,3.4000636189441433,4617.901110716445,9086.088988163498,11506.378380004682,0.03332,691.8909069741892,602.0930487919977,INFEASIBLE
workflow2_Q1,greedy,3.400031381583923,4892.316120310341,9851.112569112971,12967.258840354214,0.06478,1604.5940531194174,88.46806554200884,optimal
workflow2_Q1,murakkab_profile,3.6674070611840928,4905.662447150533,9612.137294879838,12022.363671749761,0.04592,916.855776132914,325.17552820799756,optimal
workflow2_Q1,single_cloud,8.777811285739618,4886.77927451112,9600.09503454301,11986.813562617759,0.04434,899.0184187923863,21.482233249989804,optimal
workflow2_Q2,decomposition,8.431467589484106,9424.203857951694,22696.343462150446,36417.67175845399,0.0398,4860.473609634706,381.88696770800743,INFEASIBLE
workflow2_Q2,greedy,8.431387404525807,10545.648120727235,26008.70310237271,42419.686392370655,0.06544,8730.817100018709,88.51292116599507,optimal
workflow2_Q2,murakkab_profile,8.704230801994782,9614.293590482755,23005.290437773296,36824.79883280363,0.0415,5016.085442076818,318.904069583994,optimal
workflow2_Q2,single_cloud,14.11601444448088,9586.974346709421,22966.292558944497,36699.49310985046,0.04118,4997.264270116351,21.231702791003045,optimal
workflow2_Q3,decomposition,20.958047561343793,15814.059675801098,41957.70498656015,68961.44595968815,0.06874,14918.05573731948,434.0330803750112,INFEASIBLE
workflow2_Q3,greedy,20.958047544133407,15808.976159257247,41950.26119646656,68954.09124912364,0.06872,14912.13636307783,89.43843833300343,optimal
workflow2_Q3,murakkab_profile,21.240625004400258,15039.873117521553,39523.77520967692,64609.223059629025,0.05676,11908.128925270297,326.3922264579887,optimal
workflow2_Q3,single_cloud,27.14591547924911,15007.284370827805,39461.038286906834,64558.072044547815,0.05638,11866.5966763449,21.641533083005925,optimal
