workflow,quality,method,status,execution_cost,network_cost,storage_cost,total_breakdown_cost,expected_cost,abs_diff_vs_expected
workflow1,Q1,SkyFlow,OPTIMAL,1.3308506446275303,0.0070206842415391464,0.015453907021695289,1.3533252358907648,1.3533252358907288,3.597122599785507e-14
workflow1,Q1,Greedy,optimal,1.3308506446275303,0.0070206842415391464,0.015453907021695289,1.3533252358907648,1.3533252358907288,3.597122599785507e-14
workflow1,Q1,Murakkab-style,optimal,1.3308506446275303,7.120681087130703,0.015327826870315264,8.466859558628549,8.466859558628508,4.085620730620576e-14
workflow1,Q1,Single-Cloud,optimal,1.9651888304439908,4.2772757089056303e-07,0.020542750480997164,1.985732008652559,1.9857320086525618,2.886579864025407e-15
workflow1,Q2,SkyFlow,INFEASIBLE,5.079353746492745,0.01758863176678625,0.015631011777521738,5.112573390037054,5.112573390036964,8.970602038971265e-14
workflow1,Q2,Greedy,optimal,5.079353746492745,0.017588463022643087,0.015608040248341145,5.112550249763729,5.11255024976364,8.970602038971265e-14
workflow1,Q2,Murakkab-style,optimal,5.079353746492745,7.153251642184272,0.015425471957410453,12.248030860634428,12.248030860633715,7.123190925995004e-13
workflow1,Q2,Single-Cloud,optimal,5.71563787617398,5.062324294885515e-06,0.020743270653256315,5.736386209151531,5.736386209151652,1.2079226507921703e-13
workflow1,Q3,SkyFlow,INFEASIBLE,21.383981783568533,0.033707231635255734,0.015209031347600486,21.432898046551387,21.432898046551294,9.237055564881302e-14
workflow1,Q3,Greedy,optimal,21.383981783568533,0.033706157185587095,0.015164780052522042,21.432852720806643,21.43285272080655,9.237055564881302e-14
workflow1,Q3,Murakkab-style,optimal,21.383981783568533,6.883413722725294,0.015138245540193903,28.28253375183402,28.2825337518341,8.171241461241152e-14
workflow1,Q3,Single-Cloud,optimal,21.99523477663301,3.223349005908821e-05,0.020147199947114208,22.015414210070183,22.015414210070045,1.3855583347321954e-13
workflow2,Q1,SkyFlow,OPTIMAL,4.008091902133252,0.014514997203882555,0.020982156899348698,4.043589056236483,4.043589056235686,7.966960424710123e-13
workflow2,Q1,Greedy,optimal,4.008091902133252,0.014514330988298954,0.02098169905946348,4.043587932181015,4.043587932180217,7.975842208907125e-13
workflow2,Q1,Murakkab-style,optimal,4.008091902133252,7.168986873102711,0.0208656258466436,11.197944401082607,11.197944401081465,1.142197447734361e-12
workflow2,Q1,Single-Cloud,optimal,9.637613417363236,0.0017491185929389666,0.024250641635761596,9.663613177591936,9.663613177588699,3.2365221613872563e-12
workflow2,Q2,SkyFlow,INFEASIBLE,10.507525686842014,0.03485006764550123,0.02069130341074314,10.563067057898257,10.5630670578975,7.567280135845067e-13
workflow2,Q2,Greedy,optimal,10.507525686842014,0.03484875891692775,0.020690793130714525,10.563065238889656,10.5630652388889,7.567280135845067e-13
workflow2,Q2,Murakkab-style,optimal,10.507525686842014,7.013760792738917,0.020541055811162244,17.54182753539209,17.54182753539089,1.2008172234345693e-12
workflow2,Q2,Single-Cloud,optimal,16.551128664492563,3.926185720429395e-05,0.02731262191888161,16.578480548268647,16.57848054826474,3.907985046680551e-12
workflow2,Q3,SkyFlow,INFEASIBLE,30.100326346388755,0.07009069129808244,0.021339613570562847,30.191756651257403,30.1917566512566,8.029132914089132e-13
workflow2,Q3,Greedy,optimal,30.100326346388755,0.07008822412740914,0.02133877593458329,30.19175334645075,30.191753346449946,8.029132914089132e-13
workflow2,Q3,Murakkab-style,optimal,30.100326346388755,7.13271383680349,0.02137188263756412,37.25441206582981,37.25441206582926,5.542233338928781e-13
workflow2,Q3,Single-Cloud,optimal,36.51876560095333,7.401512019880237e-05,0.028132662283930545,36.54697227835746,36.54697227835332,4.135358722123783e-12
