setting,method,status,expected_cost,avg_latency,p95_latency,svr,execution_cost,network_cost,storage_cost,breakdown_total,execution_pct,network_pct,storage_pct
W1-Q1,SkyFlow,INFEASIBLE,1.2130651597532884,528.0033739582669,1260.508716279426,0.03566,1.190563549824136,0.00703822409352294,0.015463385835629478,1.2130651597532884,98.14506172663233,0.5802016517360341,1.274736621631636
W1-Q1,Greedy,optimal,1.2130559674648498,610.4063506904079,1513.9528082061665,0.06784,1.190563549824136,0.007038223234939014,0.015454194405774672,1.2130559674648498,98.14580544970893,0.580205977606137,1.2739885726849187
W1-Q1,MLS,optimal,1.2131385026870742,587.9261201467829,1445.4395056623728,0.05846,1.190563549824136,0.007157524176582629,0.015417428686355447,1.2131385026870742,98.13912815289143,0.5900005779001223,1.2708712692084367
W1-Q1,SC,optimal,1.843148898531035,1275.7573306567697,2598.393870660869,0.59952,1.8252852529893229,6.582476766657235e-08,0.017863579716944758,1.843148898531035,99.03080833263395,3.5713212165893824e-06,0.9691880960448606
W1-Q2,SkyFlow,INFEASIBLE,2.8338120419615924,2304.1140592025663,6687.79038237684,0.06676,2.8006110237850663,0.017592916355779933,0.015608101820746853,2.8338120419615924,98.82839730776413,0.6208215680953189,0.5507811241405683
W1-Q2,Greedy,optimal,2.8338120419615924,2304.1140592025663,6687.79038237684,0.06676,2.8006110237850663,0.017592916355779933,0.015608101820746853,2.8338120419615924,98.82839730776413,0.6208215680953189,0.5507811241405683
W1-Q2,MLS,optimal,9.969290947283525,2724.7553283395505,7332.87590705352,0.08538,2.8006110237850663,7.153254406774293,0.01542551672416629,9.969290947283527,28.092379273454632,71.75289039711937,0.15473032942598086
W1-Q2,SC,optimal,3.45763853045911,2842.5361017516184,7037.060175845236,0.07326,3.436895153466512,2.575299338150186e-08,0.02074335123960509,3.45763853045911,99.40007097879477,7.448145072030517e-07,0.5999282763907295
W1-Q3,SkyFlow,INFEASIBLE,6.89509967353863,3919.2489767757525,11274.446680512328,0.0657,6.846279822355382,0.033656348812919894,0.015163502370328699,6.89509967353863,99.2919630825555,0.48811983011765714,0.21991708732684132
W1-Q3,Greedy,optimal,6.89509967353863,3917.6052937102963,11272.928557222336,0.06564,6.846279822355382,0.033656348812919894,0.015163502370328699,6.89509967353863,99.2919630825555,0.48811983011765714,0.21991708732684132
W1-Q3,MLS,optimal,13.750067030853176,4256.645928242482,11713.742797111685,0.07184,6.846279822355382,6.8888880603831355,0.01489914811465721,13.750067030853176,49.79088325164753,50.10075983575541,0.10835691259704888
W1-Q3,SC,optimal,7.477678436754993,4250.921482282006,11443.037913291952,0.06652,7.457532815419818,2.574420472088439e-08,0.02014559559096852,7.477678436754993,99.73058989490437,3.442807141096632e-07,0.2694097608148938
W2-Q1,SkyFlow,INFEASIBLE,2.8695574875864516,529.9732303969854,1268.2975626628715,0.03148,2.834430138591336,0.014162750742568564,0.020964598252547654,2.8695574875864516,98.77586181329092,0.4935517341553827,0.730586452553725
W2-Q1,Greedy,optimal,2.8695478132929337,612.6367057563125,1520.6115583579908,0.06274,2.834430138591336,0.01416228154230437,0.0209553931592939,2.8695478132929337,98.7761948227899,0.49353704708103546,0.7302681301290692
W2-Q1,MLS,optimal,2.917979968457664,721.7481357785485,1451.0398079932475,0.05332,2.834430138591336,0.06261867378227913,0.020931156084049513,2.917979968457664,97.13672366604732,2.1459596864668344,0.7173166474858614
W2-Q1,SC,optimal,8.371949321914501,1405.772131032078,2595.8111360332937,0.79394,8.346241966263214,0.001486942870924609,0.024220412780363066,8.371949321914501,99.69293464803955,0.01776101136962657,0.28930434059082827
W2-Q2,SkyFlow,INFEASIBLE,4.549769587638231,2239.0328009837735,6420.484324189009,0.06624,4.4946623587689105,0.034445216693207784,0.020662012176112403,4.549769587638231,98.78879077703083,0.7570760679133242,0.4541331550558361
W2-Q2,Greedy,optimal,4.549769576876212,2239.487672972488,6420.969281391245,0.06634,4.4946623587689105,0.034445207251679766,0.020662010855621457,4.549769576876212,98.78879101070571,0.7570758621874915,0.4541331271067932
W2-Q2,MLS,optimal,11.52851850691602,2650.9887315540964,7057.930970787807,0.08576,4.4946623587689105,7.0133417925059645,0.020514355641147803,11.52851850691602,38.98733697718868,60.8347186006478,0.17794442216353412
W2-Q2,SC,optimal,10.565307770502049,2768.4327207388624,6809.573258054225,0.07368,10.538009735238115,2.574962186083704e-08,0.02729800951431226,10.565307770502049,99.74162574477812,2.4371861587155124e-07,0.2583740115032645
W2-Q3,SkyFlow,INFEASIBLE,8.855713198150843,4012.4591940247547,11571.991761597867,0.06858,8.764836743303993,0.06957752611859837,0.021298928728250403,8.855713198150843,98.97380986925113,0.7856795332207327,0.2405105975281338
W2-Q3,Greedy,optimal,8.855713187397791,4011.1742056670346,11570.868842315796,0.06852,8.764836743303993,0.06957751668893432,0.02129892740486211,8.855713187397791,98.9738099894301,0.7856794276936079,0.240510582876281
W2-Q3,MLS,optimal,15.923955681481992,4361.451893250786,11996.672529299072,0.07528,8.764836743303993,7.138030407793003,0.021088530384997518,15.923955681481992,55.04183080273606,44.82573646002944,0.13243273723451404
W2-Q3,SC,optimal,15.211521916204376,4357.179721053583,11700.831038170836,0.06946,15.183409180180076,2.5717265601165937e-08,0.028112710307035615,15.211521916204376,99.81518788074484,1.6906438253078483e-07,0.18481195019078264
